avnn,hr,SDNN,pNN50,RMSSD,HRdiff,VLF,LF,HF,LHFratio,record
919.9720121280778,65.94265848546695,94.01570065093046,47.75423164067706,56.08836752255137,293.3333333333333,1299.7104823330844,1794.013494155054,1078.4864590572272,1.6634548158567648,x11
830.5449521422061,73.20409255885575,93.65678998367007,35.37874255761616,36.28368382293242,223.1404958677686,1661.2516424635785,1328.1416702092756,435.87430858796114,3.0470749113703532,b01
800.6663548487683,75.97847327056736,81.38896629233722,24.721693847641024,29.372590493737956,620.8651399491093,900.8971038145344,1032.2046747298557,306.9943652547545,3.362291923088871,c07
729.8708531958362,82.72459348008522,58.40837880052862,11.103003769913657,21.3256971314374,173.7473804534197,1253.5311394715359,749.2275759402562,127.7044556124768,5.8668867295735625,a08
704.0728349761374,85.6917817198347,49.07252212852839,9.720356868764389,19.59437946061731,376.3975155279503,622.642808991712,527.2290441165502,71.56059481946517,7.367588900660436,x14
901.9937614120511,70.20375913142671,195.04948090328728,31.084330016129524,112.4520179622041,5995.759717314488,29437.76728238335,10630.075716960335,1823.76644876165,5.8286387076471495,c02
1246.7056202255364,51.8262954989681,2681.4393257921834,66.06338956845983,1899.7220753151207,666.3992273976673,5323458.25988648,295087.5101098701,16108.722665897929,18.318492175333592,x06
926.3226783820634,65.26925707128235,75.18757771105842,14.01951278632893,21.498309511238062,224.05974926647107,1563.2590362964413,775.9653870738882,104.0140568207028,7.460197311710288,x21
986.2748659107882,65.94182803864064,1678.212057699815,62.56916861866449,1297.1033512847694,666.4052401493035,2438391.1358557907,50806.25339223589,3346.5096827075677,15.18186355616039,x22
966.2155412946429,63.46049410618497,128.81000053456975,55.771645414213566,61.556118042042954,426.85638061360606,6146.836308989482,2516.3553797181585,607.8620964983261,4.139681342551168,a12
845.7649433598458,71.38534498440411,59.929841602474724,29.318188665602122,30.755797411998483,347.36842105263156,519.0105697706558,525.2235148694715,241.85870738874416,2.171613007197916,a11
977.5627725650852,61.633177845409236,58.038514358814396,15.155119437010606,26.429150885331936,324.3697478991597,926.0901384283538,660.58658997527,148.41318463469923,4.450996665836816,a18
900.5681394080326,67.14813135350633,86.11791653195155,13.570854386770785,45.396292588704476,848.6682808716706,3184.529295833269,892.8198642463137,106.05288810638551,8.418628480449241,b02
1076.4311562984662,57.12811730392235,161.61491320231204,70.7141380023437,76.1744287779144,79.36507936507937,8692.40514793556,5172.8796901677615,1065.6080611414964,4.854392415750393,a14
973.7892516027738,66.54760937583328,641.1619514890857,87.82179189427889,501.5645812960579,856.31584129172,942399.8729405301,73058.28881173789,16520.121645254203,4.422382012709066,x29
840.5833975134778,71.91579816308209,60.51539655910092,15.783248521523863,23.230619226498057,1458.041958041958,1422.3109869881494,631.3250262053771,183.99758305851856,3.4311593430256666,x25
825.7640340079581,73.75194272740865,101.71122704491833,30.954425741440513,35.27478383267249,137.9090183559457,3758.294485891929,2377.6190015397015,362.97317628871144,6.550398643365664,a16
992.8430642702683,61.28812609173727,100.87229207365905,55.810408394781625,54.6049469085539,339.07185628742513,1540.4459832353825,1694.9909117075654,971.4785581113414,1.7447538059952756,c06
962.5584732164898,62.76318997825231,72.07487654919514,46.486870120652945,42.45859670727005,311.8452860596293,1257.7021776425554,851.9449565324928,450.1371291548172,1.8926342693216947,x15
943.5953171864418,65.92423847912545,192.50962977963937,44.588144230149005,73.0708590910243,189.89938458532774,29544.11530670155,6226.298975563474,1134.6595170520125,5.487372098847925,x19
745.2712145586165,81.35518476280318,76.4271868391149,15.01143704597441,23.30297039496392,157.71622385528548,1906.910978879876,964.3746274300772,147.31283734168056,6.546439840767482,a13
984.1505604947816,61.51645629932588,84.81651260513277,50.97767612666301,48.66586544414109,513.3689839572193,1548.9787664198736,1138.2379422819745,626.8010302358723,1.8159477846640468,a06
